Nom	Latitud	Longitud	Telèfon 1	Telèfon 2	Adreça	Barri	Districte	Codi Postal	Ciutat	Regio	Pais	Web	Propietari	Correu electrònic
Bar cafeteria Il Caffè di Roma *Heron City	41.43509441944444	2.1810243333333332	+34 932765126		Av Rio de Janeiro 42	Porta	Nou Barris	08016	BARCELONA	BARCELONA	ESPANYA			
Restaurant Rodilla *Diagonal Mar	41.41097503333333	2.2185804444444446	+34 933560413	+34 933562403	Av Diagonal 3	Poble Nou	Sant Martí	08019	BARCELONA	BARCELONA	ESPANYA			
Restaurant Little Italy *Av Marques de L'Argentera	41.38499712777778	2.185030111111111	+34 932687633	+34 934813071	Av Marquès de l'Argentera 19	Sant Pere, Santa Caterina i la Ribera	Ciutat Vella	08003	BARCELONA	BARCELONA	ESPANYA			
Hotel Saint Moritz	41.39093758333333	2.1679429999999997	+34 934121500	+34 934121236	C Diputació 262*264	la Dreta de l'Eixample	Eixample	08007	BARCELONA	BARCELONA	ESPANYA	http://www.hcchotels.com	KELETO SL	
Bar Ca la Lluisa *Diagonal Mar	41.41097503333333	2.2185804444444446	+34 935525617	+34 935525618	Av Diagonal 3	Poble Nou	Sant Martí	08019	BARCELONA	BARCELONA	ESPANYA			
Restaurant El Racó d'en José Luis II	41.390896519444446	2.1978509444444443	+34 932211122	+34 902104143	C Salvador Espriu 61	la Vila Olímpica del Poblenou	Sant Martí	08005	BARCELONA	BARCELONA	ESPANYA	http://www.accua.com		
Da Geppetto	41.39898908333333	2.2035011944444447	+34 932254018		Rbla Poblenou 27	el Poblenou	Sant Martí	08005	BARCELONA	BARCELONA	ESPANYA			
Club Natació Atlètic - Barceloneta	41.375434713888886	2.1898365833333333	+34 932210387		Pl Mar 1	la Barceloneta	Ciutat Vella	08003	BARCELONA	BARCELONA	ESPANYA			
Restaurant Taberna Abasolo Etxea	41.39488239722222	2.1438170833333334	+34 932004877	+34 932092422	C Marià Cubí 190	Sant Gervasi - Galvany	Sarrià-Sant Gervasi	08021	BARCELONA	BARCELONA	ESPANYA	http://www.abasoloetxea.com		
Bar Berlin	41.394329347222225	2.149497361111111	+34 932006542		Muntaner 240	Sant Gervasi - Galvany	Sarrià-Sant Gervasi	08021	BARCELONA	BARCELONA	ESPANYA			
Bar Restaurant On	41.382895425	2.1754921388888886			Sant Domènec del Call 14	el Barri Gòtic	Ciutat Vella	08002	BARCELONA	BARCELONA	ESPANYA			
Restaurant Biblioteca	41.37923755833334	2.1719045555555554	+34 934126221		C Junta de Comerç 28	el Raval	Ciutat Vella	08001	BARCELONA	BARCELONA	ESPANYA			chef@bilbio-teca.com
Bar musical Fritz Mar	41.383444583333336	2.1954624444444444	+34 932217765	+34 934146990	Pg Marítim Barceloneta 34	la Barceloneta	Ciutat Vella	08005	BARCELONA	BARCELONA	ESPANYA			
Hotel Rívoli Rambla	41.38428501666667	2.1711567777777776	+34 934817676	+34 933175053	C la Rambla 128	el Barri Gòtic	Ciutat Vella	08002	BARCELONA	BARCELONA	ESPANYA			
Hotel Barcelona Hilton	41.38889217222222	2.131376027777778	+34 934957777	+34 934957700	Av Diagonal 589*591	les Corts	Les Corts	08014	BARCELONA	BARCELONA	ESPANYA			
Bar Restaurant L'Explendid	41.39647592777778	2.14893075	+34 932008877		C Aribau 254	Sant Gervasi - Galvany	Sarrià-Sant Gervasi	08006	BARCELONA	BARCELONA	ESPANYA			
Restaurant Bar Ra	41.381770933333335	2.1706049166666666	+34 933014163	+34 933016132	Pl Gardunya 1	el Raval	Ciutat Vella	08001	BARCELONA	BARCELONA	ESPANYA			
Restaurant Embat	41.397031572222225	2.1669864444444444	+34 934580855		C Mallorca 304	la Dreta de l'Eixample	Eixample	08037	BARCELONA	BARCELONA	ESPANYA			info@restaurantembat.es
Base Nàutica Municipal de la Mar Bella	40.64370160833333	1.8165979444444444	+34 932210432		Ptja Bogatell	Poble Nou	Sant Martí	08005	BARCELONA	BARCELONA	ESPANYA			
Reial Cercle Artístic - Institut Barcelonès d'Art	41.38453696111111	2.174494388888889	+34 933015937		C Arcs 5	el Barri Gòtic	Ciutat Vella	08002	BARCELONA	BARCELONA	ESPANYA			cercleartistic@cconline.es
 Té *La Maquinista	41.442532125	2.198353	+34 933608105		Pg Potosí 2	el Bon Pastor	Sant Andreu	08030	BARCELONA	BARCELONA	ESPANYA	http://www.cafeandte.com		
Natural Blend *La Maquinista	41.442532125	2.198353	+34 933608145		Pg Potosí 2	el Bon Pastor	Sant Andreu	08030	BARCELONA	BARCELONA	ESPANYA			
Vilaplana *La Maquinista	41.442532125	2.198353			Pg Potosí 2	el Bon Pastor	Sant Andreu	08030	BARCELONA	BARCELONA	ESPANYA			
Dunkin Donuts *La Maquinista	41.442532125	2.198353	+34 933608767		Pg Potosí 2	el Bon Pastor	Sant Andreu	08030	BARCELONA	BARCELONA	ESPANYA	http://www.dunkindonuts.com		
Jamaica Coffee Shop *La Maquinista	41.44077756666666	2.198467194444444	+34 933608729		Pg Potosí 2 bxs B	el Bon Pastor	Sant Andreu	08030	BARCELONA	BARCELONA	ESPANYA	http://www.jamaicacoffeeshop.es		
Cafeteria Cafe Quijano *La Maquinista	41.442532125	2.198353	+34 933608741		Pg Potosí 2	el Bon Pastor	Sant Andreu	08030	BARCELONA	BARCELONA	ESPANYA			
Restaurant Bazaar *La Maquinista	41.442532125	2.198353	+34 933608350		Pg Potosí 2	el Bon Pastor	Sant Andreu	08030	BARCELONA	BARCELONA	ESPANYA			
Restaurant Taverna Sagardi-Euskal *La Maquinista	41.442532125	2.198353	+34 933608115	+34 933435411	Pg Potosí 2	el Bon Pastor	Sant Andreu	08030	BARCELONA	BARCELONA	ESPANYA	http://www.sagardi.com		reservas@sagardi.es
Res. Pastafiore *La Maquinista	41.442532125	2.198353	+34 933608097		Pg Potosí 2	el Bon Pastor	Sant Andreu	08030	BARCELONA	BARCELONA	ESPANYA			pfbarcelonamaquinista@pansandcompany.com
Restaurant Pitamanía *La Maquinista	41.442532125	2.198353	+34 933608864		Pg Potosí 2	el Bon Pastor	Sant Andreu	08030	BARCELONA	BARCELONA	ESPANYA			
Cerveseria Restaurant Gambrinus *La Maquinista	41.442532125	2.198353	+34 933608219		Pg Potosí 2	el Bon Pastor	Sant Andreu	08030	BARCELONA	BARCELONA	ESPANYA			
Restaurant Lizarran *La Maquinista	41.442532125	2.198353	+34 933608941	+34 933608941	Pg Potosí 2	el Bon Pastor	Sant Andreu	08030	BARCELONA	BARCELONA	ESPANYA			dfcpromo@wanodoo.es
Restaurant TapasBar *La Maquinista	41.442532125	2.198353	+34 933608879		Pg Potosí 2	el Bon Pastor	Sant Andreu	08030	BARCELONA	BARCELONA	ESPANYA	http://www.tapasbar.es		
Restaurant La Granja *La Maquinista	41.442532125	2.198353	+34 933608186		Pg Potosí 2	el Bon Pastor	Sant Andreu	08030	BARCELONA	BARCELONA	ESPANYA			
Restaurant Cantina Mariachi *La Maquinista	41.442532125	2.198353	+34 933608346	+34 933608346	Pg Potosí 2	el Bon Pastor	Sant Andreu	08030	BARCELONA	BARCELONA	ESPANYA	http://www.cantina-mariachi.com		
Cerveseria Restaurant El Fraile *La Maquinista	41.442532125	2.198353	+34 933608944	+34 932213481	Pg Potosí 2	el Bon Pastor	Sant Andreu	08030	BARCELONA	BARCELONA	ESPANYA	http://www.elfraile.net		elfraile@elfraile.net
Restaurant Trattoria Ginos *La Maquinista	41.442532125	2.198353	+34 933608123	+34 902423423	Pg Potosí 2	el Bon Pastor	Sant Andreu	08030	BARCELONA	BARCELONA	ESPANYA	http://www.grupovips.com		
Bar Burger King *La Maquinista	41.442532125	2.198353			Pg Potosí 2	el Bon Pastor	Sant Andreu	08030	BARCELONA	BARCELONA	ESPANYA			
Bar McDonald's *La Maquinista	41.442532125	2.198353	+34 933608732		Pg Potosí 2	el Bon Pastor	Sant Andreu	08030	BARCELONA	BARCELONA	ESPANYA			
 Company *La Maquinista	41.442532125	2.198353	+34 933608040		Pg Potosí 2	el Bon Pastor	Sant Andreu	08030	BARCELONA	BARCELONA	ESPANYA	http://www.pansandcompany.com		
Happy Crack *La Maquinista	41.442532125	2.198353			Pg Potosí 2	el Bon Pastor	Sant Andreu	08030	BARCELONA	BARCELONA	ESPANYA			
Restaurant La Lluna	41.38519257222222	2.1717846666666665	+34 933424479		Cro Sant Bonaventura 5	el Barri Gòtic	Ciutat Vella	08002	BARCELONA	BARCELONA	ESPANYA	http://www.lallunarestaurant.com		info@lallunarestaurant.com
Bar Terra	41.394723633333335	2.1919009999999997	+34 932322486		Pujades 64	el Parc i la Llacuna del Poblenou	Sant Martí	08005	BARCELONA	BARCELONA	ESPANYA			
Hotel Intercontinental Princesa Sofía Barcelona	41.38652906944444	2.1231086944444444	+34 935081010	+34 933302154	Pl Pius XII 4	la Maternitat i Sant Ramon	Les Corts	08034	BARCELONA	BARCELONA	ESPANYA	http://www.expogrupo.com		psofiacontraste@expogrupo.com
Restaurant Sugar Club *World Trade Center	41.371059611111114	2.1823455833333334	+34 902888115	+34 932289721	Moll Barcelona 1	el Raval	Ciutat Vella	08039	BARCELONA	BARCELONA	ESPANYA	http://www.sugarclub-barcelona.com		info@sugarclub-barcelona.com
Bar Restaurant O'Carballo	41.40547245	2.1646219444444443	+34 934574197		Trav Gràcia 252	el Camp d'en Grassot i Gràcia Nova	Gràcia	08025	BARCELONA	BARCELONA	ESPANYA			
Bar Restaurant Xiscarexantar	41.396266097222224	2.1922189444444444	+34 934855862	+34 934855862	Pere IV 59 Baix	el Parc i la Llacuna del Poblenou	Sant Martí	08018	BARCELONA	BARCELONA	ESPANYA			
Restaurant Txalaparta	41.37554660833333	2.133652861111111	+34 934092019	+34 934902973	C Sants 146*152	Sants	Sants-Montjuïc	08028	BARCELONA	BARCELONA	ESPANYA	http://www.restaurantetxalaparta.com		txalaparta@restaurantetxalaparta.com
Restaurant Alta Taberna Paco Meralgo	41.391713527777775	2.1524825	+34 934309027	+34 933221507	C Muntaner 171	l'Antiga Esquerra de l'Eixample	Eixample	08036	BARCELONA	BARCELONA	ESPANYA	http://www.pacomeralgo.com		
Restaurant de Tapa Madre	41.39694865	2.166505972222222	+34 934593134	+34 934572861	C Mallorca 301 bxs	la Dreta de l'Eixample	Eixample	08037	BARCELONA	BARCELONA	ESPANYA	http://www.detapamadre.com		detapamadre@hotmail.com
Restaurant Carmelitas	41.38181298888889	2.1693390555555556	+34 934124684	+34 933426751	C Carme 42	el Raval	Ciutat Vella	08001	BARCELONA	BARCELONA	ESPANYA	http://www.carmelitas.biz		carmelitas@iservicesmail.com
Restaurant Torre d'Altamar	41.37314246111111	2.1879252777777776	+34 932210007	+34 932210090	Pg J Borbó Comte Barcelona 88	la Barceloneta	Ciutat Vella	08039	BARCELONA	BARCELONA	ESPANYA	http://www.torredealtamar.com		reserves@torredealtamar.com
Centre Garcilaso	41.422605125	2.1862141666666663	+34 932562959	+34 932431710	C Garcilaso 103	la Sagrera	Sant Andreu	08027	BARCELONA	BARCELONA	ESPANYA			
Cafeteria The Bagel Shop	41.40042602222222	2.1577265555555556	+34 932176101		Pl Vila de Gràcia 8	Gràcia	Gràcia	08012	BARCELONA	BARCELONA	ESPANYA			
Gran Casino de Barcelona	41.38708262222222	2.1965545	+34 932257878	+34 932252182	C Marina 19*21	la Barceloneta	Ciutat Vella	08005	BARCELONA	BARCELONA	ESPANYA			
Bar Restaurant Arrel del Born	41.38636758888889	2.1830243055555556	+34 933199299	+34 933199299	C Fusina 5	Sant Pere, Santa Caterina i la Ribera	Ciutat Vella	08003	BARCELONA	BARCELONA	ESPANYA	http://www.arreldelborn.com		arrel@virtualsys.com
Bar Restaurant Cros Diagonal	41.39419608888889	2.1512805555555556	+34 934143748	+34 932094332	Av Diagonal 433	l'Antiga Esquerra de l'Eixample	Eixample	08036	BARCELONA	BARCELONA	ESPANYA			crosdiagonal@yahoo.es
Restaurant La Vinya del Senyor *Avinguda Sarrià	41.389872269444446	2.146914111111111	+34 934102511		Av Sarrià 15 bxs	la Nova Esquerra de l'Eixample	Eixample	08029	BARCELONA	BARCELONA	ESPANYA			
Pizza Sapri *Gal.lileu	41.38615653888889	2.1312494444444443	+34 933222040	+34 902100796	Galileu 326	les Corts	Les Corts	08028	BARCELONA	BARCELONA	ESPANYA	http://www.pizzasapri.com		
Restaurant Las Fiestas del Convento	41.38112295	2.1715035277777774	+34 933022432	+34 933022432	C Jerusalem 3 P R AL04	el Raval	Ciutat Vella	08001	BARCELONA	BARCELONA	ESPANYA	http://www.sebastiangroup.com		info@sebastiangroup.com
Cerveseria Restaurant Can Xapata	41.39420846944444	2.1469185	+34 932402184		C Casanova 213	Sant Gervasi - Galvany	Sarrià-Sant Gervasi	08021	BARCELONA	BARCELONA	ESPANYA	http://www.can-xapata.com		
Restaurant Japonès Prosperity Sushi	41.390482399999996	2.1605586666666667	+34 934516228		C València 240	l'Antiga Esquerra de l'Eixample	Eixample	08007	BARCELONA	BARCELONA	ESPANYA			
Restaurant La Polpa	41.391198869444445	2.1576870277777775	+34 933238308		C Enric Granados 69	l'Antiga Esquerra de l'Eixample	Eixample	08008	BARCELONA	BARCELONA	ESPANYA			
Restaurant Xinés Memorias de China	41.400446655555555	2.149914361111111	+34 934157602	+34 932183304	C Lincoln 17	Sant Gervasi - Galvany	Sarrià-Sant Gervasi	08006	BARCELONA	BARCELONA	ESPANYA	http://www.memoriasdechina.es		info@memoriasdechina.es
Restaurant El Rovell del Born	41.38363045	2.1801911111111107	+34 932690458		C Argenteria 6	Sant Pere, Santa Caterina i la Ribera	Ciutat Vella	08003	BARCELONA	BARCELONA	ESPANYA			
Café Restaurant L'Appart	41.38585456388889	2.166529611111111	+34 933176673		C Pelai 9	la Dreta de l'Eixample	Eixample	08001	BARCELONA	BARCELONA	ESPANYA			
Restaurant La General de Tartas	41.403305394444445	2.1272723055555556	+34 932123302		Pg Bonanova 56	Sant Gervasi - la Bonanova	Sarrià-Sant Gervasi	08017	BARCELONA	BARCELONA	ESPANYA			
Restaurant Japonès Sumo *Centre de la Vila	41.390896519444446	2.1978509444444443	+34 932219847	+34 932219847	C Salvador Espriu 61	la Vila Olímpica del Poblenou	Sant Martí	08005	BARCELONA	BARCELONA	ESPANYA			
Restaurant Japonès Sumo *Diagonal Mar	41.41042665833333	2.2164054444444448	+34 933562327	+34 933562327	Av Diagonal 3	Poble Nou	Sant Martí	08019	BARCELONA	BARCELONA	ESPANYA			
Restaurant Chido One	41.40326995555555	2.1590226388888887	+34 932850335	+34 932371531	C Torrijos 30	la Vila de Gràcia	Gràcia	08012	BARCELONA	BARCELONA	ESPANYA	http://www.chidoone.com		info@chidoone.com
Bar Restaurant 12+1 Deport Restaurant	41.390896519444446	2.1978509444444443	+34 932219752	+34 932219752	Arquitecte Sert 17*19	la Vila Olímpica del Poblenou	Sant Martí	08005	BARCELONA	BARCELONA	ESPANYA	http://www.12mas1.com		12mas1@12mas1.com
Cerveseria Restaurant Vildsvin	41.381973994444444	2.17633375	+34 933179455		C Ferran 38	el Barri Gòtic	Ciutat Vella	08002	BARCELONA	BARCELONA	ESPANYA			reservas@sagardi.es
Xiringuito Splashh	41.37586967777778	2.1911498055555554			Ptja Barceloneta 100*LP	Barceloneta	Ciutat Vella	08003	BARCELONA	BARCELONA	ESPANYA			
Bar El 24	41.38120663888889	2.175372583333333	+34 933020986		Ferran 24	el Barri Gòtic	Ciutat Vella	08002	BARCELONA	BARCELONA	ESPANYA			
Restaurant Va de Vi	41.38419725	2.1811459166666665	+34 933192900		Banys Vells 16	Sant Pere, Santa Caterina i la Ribera	Ciutat Vella	08003	BARCELONA	BARCELONA	ESPANYA			
Museu d'Història de Catalunya	41.3808077	2.185855722222222	+34 932210050		Pl Pau Vila 3	la Barceloneta	Ciutat Vella	08039	BARCELONA	BARCELONA	ESPANYA			
Restaurant Self-service Polimenú*La Cup	41.38991789166666	2.115375111111111	+34 934017107	+34 932044020	C Jordi Girona 1-3	Pedralbes	Les Corts	08034	BARCELONA	BARCELONA	ESPANYA	http://www.restaurantenotable.com		notable@versin.com
Restaurant Notable *La Cup	41.387871077777774	2.114651777777778	+34 934017107	+34 932044020	C Jordi Girona 3*5	Pedralbes	Les Corts	08034	BARCELONA	BARCELONA	ESPANYA	http://www.restaurantenotable.com		polinotable@terra.es
Restaurant Els Pollos de Llull *Ramon Turró	41.39104871666667	2.190924222222222	+34 932213206	+34 932213206	C Ramon Turró 13	la Vila Olímpica del Poblenou	Sant Martí	08005	BARCELONA	BARCELONA	ESPANYA	http://www.elspollos.com		info@elspollos.com
Bar La Confiteria	41.37548766111111	2.1679224166666664	+34 93 443 0458		Sant Pau 128	el Raval	Ciutat Vella	08001	BARCELONA	BARCELONA	ESPANYA			
Abba Sants Hotel	41.38256868055556	2.140019166666667	+34 936003131	+34 936003101	C Numància 32	Sants	Sants-Montjuïc	08029	BARCELONA	BARCELONA	ESPANYA	http://www.abbahoteles.com		abbasants@abbahoteles.com
Centro Riojano de Barcelona	41.38147130833333	2.1673136666666664	+34 934430854	+34 934423827	Peu de la Creu 8*10	el Raval	Ciutat Vella	08001	BARCELONA	BARCELONA	ESPANYA			
Restaurant Ugarit Bruniquer	41.40514408333333	2.161355611111111	+34 932841214		C Bruniquer 37	la Vila de Gràcia	Gràcia	08024	BARCELONA	BARCELONA	ESPANYA	http://www.ugaritrestaurantsirio.com		
Restaurant Baravins	41.38799417777778	2.151068638888889	+34 934515172		C Comte d'Urgell 196	l'Antiga Esquerra de l'Eixample	Eixample	08036	BARCELONA	BARCELONA	ESPANYA			baravins@teleline.es
